Dia;Tratamento;Repeti‡Æo;Numero_neonatos;Numero_neonatos_somados;Numero_ovos;Numeros_ovos_somados;Comprimento
0;Controle;R1;0;0;0;0;0,34
1;Controle;R1;0;0;0;0;0,42
2;Controle;R1;0;0;0;0;0,55
3;Controle;R1;0;0;4;4;0,61
4;Controle;R1;0;0;0;4;0,61
5;Controle;R1;4;4;7;11;0,66
6;Controle;R1;7;11;8;19;0,72
7;Controle;R1;0;11;0;19;0,72
8;Controle;R1;8;19;8;27;0,75
0;Controle;R2;0;0;0;0;0,36
1;Controle;R2;0;0;0;0;0,43
2;Controle;R2;0;0;0;0;0,52
3;Controle;R2;0;0;3;3;0,6
4;Controle;R2;0;0;0;3;0,6
5;Controle;R2;3;3;8;11;0,64
6;Controle;R2;8;11;9;20;0,69
7;Controle;R2;0;11;0;20;0,7
8;Controle;R2;9;20;7;27;0,72
0;Controle;R3;0;0;0;0;0,34
1;Controle;R3;0;0;0;0;0,4
2;Controle;R3;0;0;0;0;0,52
3;Controle;R3;0;0;4;4;0,6
4;Controle;R3;0;0;0;4;0,61
5;Controle;R3;4;4;5;9;0,66
6;Controle;R3;5;9;7;16;0,69
7;Controle;R3;0;9;0;16;0,69
8;Controle;R3;7;16;5;21;0,72
0;Controle;R4;0;0;0;0;0,34
1;Controle;R4;0;0;0;0;0,45
2;Controle;R4;0;0;0;0;0,54
3;Controle;R4;0;0;4;4;0,61
4;Controle;R4;0;0;0;4;0,64
5;Controle;R4;4;4;8;12;0,69
6;Controle;R4;8;12;9;21;0,72
7;Controle;R4;0;12;0;21;0,73
8;Controle;R4;9;21;4;25;0,73
0;Controle;R5;0;0;0;0;0,31
1;Controle;R5;0;0;0;0;0,43
2;Controle;R5;0;0;0;0;0,52
3;Controle;R5;0;0;4;4;0,6
4;Controle;R5;0;0;0;4;0,6
5;Controle;R5;4;4;6;10;0,66
6;Controle;R5;6;10;9;19;0,67
7;Controle;R5;0;10;0;19;0,67
8;Controle;R5;9;19;5;24;0,7
0;Controle;R6;0;0;0;0;0,33
1;Controle;R6;0;0;0;0;0,42
2;Controle;R6;0;0;0;0;0,52
3;Controle;R6;0;0;3;3;0,57
4;Controle;R6;3;3;5;8;0,63
5;Controle;R6;0;3;0;8;0,67
6;Controle;R6;5;8;8;16;0,67
7;Controle;R6;0;8;0;16;0,69
8;Controle;R6;8;16;4;20;0,69
0;Controle;R7;0;0;0;0;0,34
1;Controle;R7;0;0;0;0;0,45
2;Controle;R7;0;0;0;0;0,54
3;Controle;R7;0;0;5;5;0,64
4;Controle;R7;4;4;0;5;0,64
5;Controle;R7;1;5;8;13;0,72
6;Controle;R7;8;13;9;22;0,72
7;Controle;R7;0;13;0;22;0,75
8;Controle;R7;9;22;6;28;0,76
0;Controle;R8;0;0;0;0;0,33
1;Controle;R8;0;0;0;0;0,42
2;Controle;R8;0;0;0;0;0,55
3;Controle;R8;0;0;4;4;0,64
4;Controle;R8;4;4;0;4;0,63
5;Controle;R8;0;4;7;11;0,7
6;Controle;R8;7;11;9;20;0,72
7;Controle;R8;0;11;0;20;0,73
8;Controle;R8;9;20;6;26;0,73
0;Controle;R9;0;0;0;0;0,34
1;Controle;R9;0;0;0;0;0,45
2;Controle;R9;0;0;0;0;0,54
3;Controle;R9;0;0;4;4;0,63
4;Controle;R9;4;4;7;11;0,67
5;Controle;R9;0;4;0;11;0,75
6;Controle;R9;6;10;9;20;0,72
7;Controle;R9;0;10;0;20;0,75
8;Controle;R9;9;19;6;26;0,76
0;Controle;R10;0;0;0;0;0,34
1;Controle;R10;0;0;0;0;0,44
2;Controle;R10;0;0;0;0;0,52
3;Controle;R10;0;0;4;4;0,63
4;Controle;R10;0;0;0;4;0,63
5;Controle;R10;4;4;5;9;0,67
6;Controle;R10;5;9;8;17;0,72
7;Controle;R10;0;9;0;17;0,73
8;Controle;R10;8;17;0;17;0,75
0;0,006;R1;0;0;0;0;0,34
1;0,006;R1;0;0;0;0;0,43
2;0,006;R1;0;0;0;0;0,54
3;0,006;R1;0;0;4;4;0,63
4;0,006;R1;0;0;0;4;0,63
5;0,006;R1;3;3;6;10;0,67
6;0,006;R1;4;7;6;16;0,64
7;0,006;R1;6;13;7;23;0,69
8;0,006;R1;0;13;0;23;Morta
0;0,006;R2;0;0;0;0;0,33
1;0,006;R2;0;0;0;0;0,42
2;0,006;R2;0;0;0;0;0,52
3;0,006;R2;0;0;4;4;0,6
4;0,006;R2;4;4;0;4;0,6
5;0,006;R2;0;4;6;10;0,66
6;0,006;R2;6;10;7;17;0,69
7;0,006;R2;0;10;0;17;0,69
8;0,006;R2;6;16;6;23;0,72
0;0,006;R3;0;0;0;0;0,33
1;0,006;R3;0;0;0;0;0,4
2;0,006;R3;0;0;0;0;0,51
3;0,006;R3;0;0;3;3;0,6
4;0,006;R3;0;0;0;3;0,6
5;0,006;R3;3;3;5;8;0,66
6;0,006;R3;0;3;0;8;0,72
7;0,006;R3;5;8;7;15;0,7
8;0,006;R3;0;8;0;15;0,7
0;0,006;R4;0;0;0;0;0,33
1;0,006;R4;0;0;0;0;0,39
2;0,006;R4;0;0;0;0;0,51
3;0,006;R4;0;0;4;4;0,6
4;0,006;R4;0;0;0;4;0,6
5;0,006;R4;3;3;6;10;0,66
6;0,006;R4;4;7;8;18;0,69
7;0,006;R4;0;7;0;18;0,69
8;0,006;R4;0;7;0;18;0,69
0;0,006;R5;0;0;0;0;0,36
1;0,006;R5;0;0;0;0;0,45
2;0,006;R5;0;0;0;0;0,54
3;0,006;R5;0;0;5;5;0,63
4;0,006;R5;5;5;5;10;0,63
5;0,006;R5;0;5;0;10;0,69
6;0,006;R5;5;10;8;18;0,72
7;0,006;R5;0;10;0;18;0,72
8;0,006;R5;0;10;5;23;0,73
0;0,006;R6;0;0;0;0;0,33
1;0,006;R6;0;0;0;0;0,39
2;0,006;R6;0;0;0;0;0,49
3;0,006;R6;0;0;3;3;0,55
4;0,006;R6;0;0;0;3;0,58
5;0,006;R6;2;2;5;8;0,64
6;0,006;R6;0;2;0;8;0,66
7;0,006;R6;0;2;0;8;0,66
8;0,006;R6;0;2;7;15;0,67
0;0,006;R7;0;0;0;0;0,34
1;0,006;R7;0;0;0;0;0,4
2;0,006;R7;0;0;0;0;0,51
3;0,006;R7;0;0;4;4;0,6
4;0,006;R7;0;0;0;4;0,61
5;0,006;R7;0;0;0;4;Morta
6;0,006;R7;0;0;0;4;Morta
7;0,006;R7;0;0;0;4;Morta
8;0,006;R7;0;0;0;4;Morta
0;0,006;R8;0;0;0;0;0,34
1;0,006;R8;0;0;0;0;0,42
2;0,006;R8;0;0;0;0;0,52
3;0,006;R8;0;0;4;4;0,61
4;0,006;R8;0;0;0;4;0,61
5;0,006;R8;4;4;8;12;0,69
6;0,006;R8;8;12;9;21;0,7
7;0,006;R8;0;12;0;21;0,7
8;0,006;R8;8;20;0;21;0,7
0;0,006;R9;0;0;0;0;0,36
1;0,006;R9;0;0;0;0;0,43
2;0,006;R9;0;0;0;0;0,45
3;0,006;R9;0;0;0;0;0,4
4;0,006;R9;0;0;0;0;0,4
5;0,006;R9;0;0;0;0;0,51
6;0,006;R9;0;0;0;0;0,52
7;0,006;R9;0;0;0;0;0,54
8;0,006;R9;0;0;0;0;0,54
0;0,006;R10;0;0;0;0;0,36
1;0,006;R10;0;0;0;0;0,42
2;0,006;R10;0;0;0;0;0,51
3;0,006;R10;0;0;2;2;0,6
4;0,006;R10;0;0;0;2;0,6
5;0,006;R10;2;2;4;6;0,64
6;0,006;R10;4;6;0;6;0,66
7;0,006;R10;0;6;4;10;0,66
8;0,006;R10;0;6;0;10;0,66
0;0,01;R1;0;0;0;0;0,33
1;0,01;R1;0;0;0;0;0,4
2;0,01;R1;0;0;0;0;0,46
3;0,01;R1;0;0;2;2;0,6
4;0,01;R1;0;0;0;2;0,6
5;0,01;R1;0;0;0;2;Morta
6;0,01;R1;0;0;0;2;Morta
7;0,01;R1;0;0;0;2;Morta
8;0,01;R1;0;0;0;2;Morta
0;0,01;R2;0;0;0;0;0,34
1;0,01;R2;0;0;0;0;0,42
2;0,01;R2;0;0;0;0;0,52
3;0,01;R2;0;0;4;4;0,61
4;0,01;R2;0;0;0;4;0,61
5;0,01;R2;4;4;6;10;0,67
6;0,01;R2;0;4;0;10;0,66
7;0,01;R2;4;8;6;16;0,7
8;0,01;R2;0;8;6;22;0,73
0;0,01;R3;0;0;0;0;0,34
1;0,01;R3;0;0;0;0;0,42
2;0,01;R3;0;0;0;0;0,46
3;0,01;R3;0;0;2;2;0,46
4;0,01;R3;0;0;0;2;0,51
5;0,01;R3;2;2;0;2;0,52
6;0,01;R3;0;2;3;5;0,52
7;0,01;R3;0;2;0;5;0,52
8;0,01;R3;3;5;0;5;0,52
0;0,01;R4;0;0;0;0;0,31
1;0,01;R4;0;0;0;0;0,42
2;0,01;R4;0;0;0;0;0,52
3;0,01;R4;0;0;4;4;0,6
4;0,01;R4;0;0;0;4;0,6
5;0,01;R4;4;4;6;10;0,67
6;0,01;R4;6;10;6;16;0,7
7;0,01;R4;0;10;0;16;0,7
8;0,01;R4;6;16;0;16;0,73
0;0,01;R5;0;0;0;0;0,34
1;0,01;R5;0;0;0;0;0,4
2;0,01;R5;0;0;0;0;0,51
3;0,01;R5;0;0;2;2;0,61
4;0,01;R5;0;0;6;8;0,61
5;0,01;R5;0;0;0;8;0,66
6;0,01;R5;6;6;8;16;0,67
7;0,01;R5;0;6;0;16;0,75
8;0,01;R5;0;6;5;21;0,75
0;0,01;R6;0;0;0;0;0,34
1;0,01;R6;0;0;0;0;0,42
2;0,01;R6;0;0;0;0;0,46
3;0,01;R6;0;0;0;0;0,49
4;0,01;R6;0;0;0;0;0,49
5;0,01;R6;0;0;0;0;0,54
6;0,01;R6;0;0;0;0;0,54
7;0,01;R6;0;0;0;0;0,55
8;0,01;R6;0;0;7;7;0,55
0;0,01;R7;0;0;0;0;0,33
1;0,01;R7;0;0;0;0;0,4
2;0,01;R7;0;0;0;0;0,45
3;0,01;R7;0;0;2;2;0,45
4;0,01;R7;0;0;0;2;0,45
5;0,01;R7;2;2;0;2;0,51
6;0,01;R7;0;2;2;4;0,52
7;0,01;R7;0;2;0;4;0,54
8;0,01;R7;2;4;0;4;0,54
0;0,01;R8;0;0;0;0;0,33
1;0,01;R8;0;0;0;0;0,4
2;0,01;R8;0;0;0;0;0,49
3;0,01;R8;0;0;4;4;0,58
4;0,01;R8;0;0;0;4;0,58
5;0,01;R8;4;4;5;9;0,64
6;0,01;R8;5;9;8;17;0,67
7;0,01;R8;0;9;0;17;0,69
8;0,01;R8;8;17;0;17;0,72
0;0,01;R9;0;0;0;0;0,34
1;0,01;R9;0;0;0;0;0,45
2;0,01;R9;0;0;0;0;0,54
3;0,01;R9;0;0;4;4;0,63
4;0,01;R9;4;4;0;4;0,63
5;0,01;R9;0;4;5;9;0,67
6;0,01;R9;5;9;7;16;0,69
7;0,01;R9;0;9;0;16;0,7
8;0,01;R9;6;15;0;16;0,73
0;0,01;R10;0;0;0;0;0,34
1;0,01;R10;0;0;0;0;0,43
2;0,01;R10;0;0;0;0;0,46
3;0,01;R10;0;0;4;4;0,64
4;0,01;R10;4;4;7;11;0,67
5;0,01;R10;0;4;7;18;0,56
6;0,01;R10;7;11;5;23;0,7
7;0,01;R10;0;11;0;23;0,7
8;0,01;R10;5;16;0;23;0,7
0;0,02;R1;0;0;0;0;0,34
1;0,02;R1;0;0;0;0;0,45
2;0,02;R1;0;0;0;0;0,55
3;0,02;R1;0;0;0;0;Morta
4;0,02;R1;0;0;0;0;Morta
5;0,02;R1;0;0;0;0;Morta
6;0,02;R1;0;0;0;0;Morta
7;0,02;R1;0;0;0;0;Morta
8;0,02;R1;0;0;0;0;Morta
0;0,02;R2;0;0;0;0;0,31
1;0,02;R2;0;0;0;0;0,4
2;0,02;R2;0;0;0;0;0,51
3;0,02;R2;0;0;3;3;0,58
4;0,02;R2;0;0;0;3;0,58
5;0,02;R2;3;3;5;8;0,63
6;0,02;R2;0;3;0;8;0,64
7;0,02;R2;5;8;6;14;0,64
8;0,02;R2;0;8;0;14;0,67
0;0,02;R3;0;0;0;0;0,33
1;0,02;R3;0;0;0;0;0,42
2;0,02;R3;0;0;0;0;0,48
3;0,02;R3;0;0;3;3;0,55
4;0,02;R3;0;0;0;3;0,55
5;0,02;R3;3;3;5;8;0,6
6;0,02;R3;0;3;0;8;0,6
7;0,02;R3;5;8;6;14;0,63
8;0,02;R3;0;8;0;14;0,67
0;0,02;R4;0;0;0;0;0,31
1;0,02;R4;0;0;0;0;0,4
2;0,02;R4;0;0;0;0;0,51
3;0,02;R4;0;0;3;3;0,57
4;0,02;R4;0;0;0;3;0,57
5;0,02;R4;3;3;5;8;0,63
6;0,02;R4;5;8;8;16;0,66
7;0,02;R4;0;8;0;16;0,66
8;0,02;R4;8;16;0;16;0,67
0;0,02;R5;0;0;0;0;0,33
1;0,02;R5;0;0;0;0;0,4
2;0,02;R5;0;0;0;0;0,51
3;0,02;R5;0;0;3;3;0,58
4;0,02;R5;0;0;0;3;0,58
5;0,02;R5;3;3;5;8;0,63
6;0,02;R5;0;3;0;8;0,63
7;0,02;R5;0;3;0;8;0,67
8;0,02;R5;0;3;2;10;0,67
0;0,02;R6;0;0;0;0;0,33
1;0,02;R6;0;0;0;0;0,4
2;0,02;R6;0;0;0;0;0,49
3;0,02;R6;0;0;3;3;0,6
4;0,02;R6;0;0;0;3;0,6
5;0,02;R6;3;3;5;8;0,66
6;0,02;R6;5;8;8;16;0,67
7;0,02;R6;0;8;0;16;0,67
8;0,02;R6;7;15;0;16;0,67
0;0,02;R7;0;0;0;0;0,34
1;0,02;R7;0;0;0;0;0,42
2;0,02;R7;0;0;0;0;0,52
3;0,02;R7;0;0;4;4;0,61
4;0,02;R7;0;0;0;4;0,6
5;0,02;R7;3;3;6;10;0,66
6;0,02;R7;6;9;7;17;0,66
7;0,02;R7;0;9;0;17;0,69
8;0,02;R7;6;15;0;17;0,69
0;0,02;R8;0;0;0;0;0,34
1;0,02;R8;0;0;0;0;0,42
2;0,02;R8;0;0;0;0;0,52
3;0,02;R8;0;0;4;4;0,6
4;0,02;R8;0;0;0;4;0,6
5;0,02;R8;4;4;6;10;0,66
6;0,02;R8;0;4;0;10;0,66
7;0,02;R8;0;4;0;10;0,66
8;0,02;R8;0;4;0;10;0,69
0;0,02;R9;0;0;0;0;0,34
1;0,02;R9;0;0;0;0;0,4
2;0,02;R9;0;0;0;0;0,52
3;0,02;R9;0;0;4;4;0,61
4;0,02;R9;0;0;0;4;0,61
5;0,02;R9;4;4;5;9;0,67
6;0,02;R9;0;4;0;9;0,67
7;0,02;R9;0;4;0;9;0,67
8;0,02;R9;0;4;0;9;0,68
0;0,02;R10;0;0;0;0;0,33
1;0,02;R10;0;0;0;0;0,4
2;0,02;R10;0;0;0;0;0,52
3;0,02;R10;0;0;4;4;0,6
4;0,02;R10;0;0;0;4;0,6
5;0,02;R10;4;4;5;9;0,66
6;0,02;R10;0;4;0;9;0,67
7;0,02;R10;5;9;6;15;0,67
8;0,02;R10;0;9;0;15;0,69
0;0,04;R1;0;0;0;0;0,31
1;0,04;R1;0;0;0;0;0,42
2;0,04;R1;0;0;0;0;0,52
3;0,04;R1;0;0;4;4;0,6
4;0,04;R1;4;4;0;4;0,6
5;0,04;R1;0;4;6;10;0,66
6;0,04;R1;6;10;0;10;0,67
7;0,04;R1;0;10;0;10;0,67
8;0,04;R1;0;10;0;10;0,69
0;0,04;R2;0;0;0;0;0,34
1;0,04;R2;0;0;0;0;0,42
2;0,04;R2;0;0;0;0;0,54
3;0,04;R2;0;0;2;2;0,6
4;0,04;R2;1;1;0;2;0,6
5;0,04;R2;0;1;3;5;0,64
6;0,04;R2;3;4;3;8;0,67
7;0,04;R2;0;4;0;8;0,67
8;0,04;R2;3;7;0;8;0,66
0;0,04;R3;0;0;0;0;0,33
1;0,04;R3;0;0;0;0;0,42
2;0,04;R3;0;0;0;0;0,52
3;0,04;R3;0;0;3;3;0,6
4;0,04;R3;0;0;0;3;0,6
5;0,04;R3;3;3;5;8;0,67
6;0,04;R3;5;8;8;16;0,69
7;0,04;R3;0;8;0;16;0,69
8;0,04;R3;0;8;0;16;Morta
0;0,04;R4;0;0;0;0;0,33
1;0,04;R4;0;0;0;0;0,4
2;0,04;R4;0;0;0;0;0,49
3;0,04;R4;0;0;3;3;0,57
4;0,04;R4;0;0;0;3;0,6
5;0,04;R4;2;2;5;8;0,63
6;0,04;R4;0;2;0;8;0,63
7;0,04;R4;5;7;6;14;0,67
8;0,04;R4;0;7;0;14;0,67
0;0,04;R5;0;0;0;0;0,33
1;0,04;R5;0;0;0;0;0,39
2;0,04;R5;0;0;0;0;0,51
3;0,04;R5;0;0;4;4;0,6
4;0,04;R5;0;0;0;4;0,6
5;0,04;R5;3;3;6;10;0,66
6;0,04;R5;6;9;0;10;0,64
7;0,04;R5;0;9;0;10;Morta
8;0,04;R5;0;9;0;10;Morta
0;0,04;R6;0;0;0;0;0,31
1;0,04;R6;0;0;0;0;0,45
2;0,04;R6;0;0;0;0;0,55
3;0,04;R6;0;0;4;4;0,64
4;0,04;R6;2;2;0;4;0,64
5;0,04;R6;2;4;5;9;0,67
6;0,04;R6;5;9;8;17;0,7
7;0,04;R6;0;9;0;17;0,72
8;0,04;R6;8;17;0;17;0,75
0;0,04;R7;0;0;0;0;0,31
1;0,04;R7;0;0;0;0;0,39
2;0,04;R7;0;0;0;0;0,49
3;0,04;R7;0;0;3;3;0,55
4;0,04;R7;0;0;0;3;0,55
5;0,04;R7;2;2;4;7;0,57
6;0,04;R7;0;2;0;7;0,6
7;0,04;R7;4;6;6;13;0,61
8;0,04;R7;0;6;0;13;0,61
0;0,04;R8;0;0;0;0;0,34
1;0,04;R8;0;0;0;0;0,45
2;0,04;R8;0;0;0;0;0,46
3;0,04;R8;0;0;4;4;0,61
4;0,04;R8;0;0;0;4;0,61
5;0,04;R8;3;3;5;9;0,66
6;0,04;R8;5;8;0;9;0,67
7;0,04;R8;0;8;6;15;0,67
8;0,04;R8;4;12;0;15;0,69
0;0,04;R9;0;0;0;0;0,31
1;0,04;R9;0;0;0;0;0,43
2;0,04;R9;0;0;0;0;0,51
3;0,04;R9;0;0;0;0;0,51
4;0,04;R9;0;0;1;1;0,54
5;0,04;R9;0;0;0;1;0,54
6;0,04;R9;1;1;0;1;0,58
7;0,04;R9;0;1;0;1;0,58
8;0,04;R9;0;1;0;1;0,58
0;0,04;R10;0;0;0;0;0,31
1;0,04;R10;0;0;0;0;0,42
2;0,04;R10;0;0;0;0;0,52
3;0,04;R10;0;0;3;3;0,6
4;0,04;R10;0;0;0;3;0,6
5;0,04;R10;2;2;6;9;0,67
6;0,04;R10;6;8;0;9;0,66
7;0,04;R10;0;8;6;15;0,67
8;0,04;R10;2;10;0;15;0,67
0;0,09;R1;0;0;0;0;0,33
1;0,09;R1;0;0;0;0;0,42
2;0,09;R1;0;0;0;0;0,51
3;0,09;R1;0;0;4;4;0,61
4;0,09;R1;0;0;0;4;0,61
5;0,09;R1;3;3;5;9;0,66
6;0,09;R1;0;3;0;9;0,67
7;0,09;R1;5;8;4;13;0,69
8;0,09;R1;0;8;0;13;0,7
0;0,09;R2;0;0;0;0;0,34
1;0,09;R2;0;0;0;0;0,42
2;0,09;R2;0;0;0;0;0,52
3;0,09;R2;0;0;4;4;0,6
4;0,09;R2;0;0;0;4;0,6
5;0,09;R2;3;3;6;10;0,67
6;0,09;R2;0;3;0;10;0,67
7;0,09;R2;6;9;3;13;0,69
8;0,09;R2;0;9;0;13;0,7
0;0,09;R3;0;0;0;0;0,34
1;0,09;R3;0;0;0;0;0,39
2;0,09;R3;0;0;0;0;0,54
3;0,09;R3;0;0;3;3;0,61
4;0,09;R3;3;3;5;8;0,67
5;0,09;R3;0;3;0;8;0,67
6;0,09;R3;0;3;0;8;Morta
7;0,09;R3;0;3;0;8;Morta
8;0,09;R3;0;3;0;8;Morta
0;0,09;R4;0;0;0;0;0,33
1;0,09;R4;0;0;0;0;0,42
2;0,09;R4;0;0;0;0;0,52
3;0,09;R4;0;0;3;3;0,6
4;0,09;R4;0;0;0;3;0,6
5;0,09;R4;3;3;5;8;0,66
6;0,09;R4;5;8;3;11;0,66
7;0,09;R4;0;8;0;11;0,66
8;0,09;R4;5;13;0;11;0,67
0;0,09;R5;0;0;0;0;0,34
1;0,09;R5;0;0;0;0;0,43
2;0,09;R5;0;0;0;0;0,48
3;0,09;R5;0;0;3;3;0,48
4;0,09;R5;3;3;5;8;0,65
5;0,09;R5;0;3;4;12;0,67
6;0,09;R5;5;8;2;14;0,72
7;0,09;R5;0;8;0;14;0,72
8;0,09;R5;0;8;5;19;0,72
0;0,09;R6;0;0;0;0;0,31
1;0,09;R6;0;0;0;0;0,42
2;0,09;R6;0;0;0;0;0,52
3;0,09;R6;0;0;4;4;0,6
4;0,09;R6;0;0;0;4;0,6
5;0,09;R6;4;4;5;9;0,6
6;0,09;R6;5;9;2;11;0,66
7;0,09;R6;0;9;0;11;0,69
8;0,09;R6;5;14;5;16;0,72
0;0,09;R7;0;0;0;0;0,31
1;0,09;R7;0;0;0;0;0,4
2;0,09;R7;0;0;0;0;0,51
3;0,09;R7;0;0;3;3;0,57
4;0,09;R7;0;0;0;3;0,6
5;0,09;R7;3;3;5;8;0,64
6;0,09;R7;5;8;2;10;0,67
7;0,09;R7;0;8;0;10;0,67
8;0,09;R7;6;14;0;10;0,67
0;0,09;R8;0;0;0;0;0,34
1;0,09;R8;0;0;0;0;0,42
2;0,09;R8;0;0;0;0;0,52
3;0,09;R8;0;0;4;4;0,61
4;0,09;R8;0;0;0;4;0,61
5;0,09;R8;2;2;6;10;0,69
6;0,09;R8;6;8;0;10;0,67
7;0,09;R8;0;8;4;14;0,69
8;0,09;R8;0;8;0;14;0,72
0;0,09;R9;0;0;0;0;0,34
1;0,09;R9;0;0;0;0;0,4
2;0,09;R9;0;0;0;0;0,46
3;0,09;R9;0;0;0;0;0,46
4;0,09;R9;0;0;0;0;Morta
5;0,09;R9;0;0;0;0;Morta
6;0,09;R9;0;0;0;0;Morta
7;0,09;R9;0;0;0;0;Morta
8;0,09;R9;0;0;0;0;Morta
0;0,09;R10;0;0;0;0;0,34
1;0,09;R10;0;0;0;0;0,42
2;0,09;R10;0;0;0;0;0,46
3;0,09;R10;0;0;3;3;0,58
4;0,09;R10;0;0;0;3;0,58
5;0,09;R10;2;2;6;9;0,64
6;0,09;R10;6;8;5;14;0,67
7;0,09;R10;0;8;0;14;Morta
8;0,09;R10;0;8;0;14;Morta
