Tratamento;Dia;Repeticao;Num_ovos;Num_neonatos;Comprimento;Comprimento_original
Controle;0;R1;0;0;0,34;0,34
Controle;0;R2;0;0;0,36;0,36
Controle;0;R3;0;0;0,34;0,34
Controle;0;R4;0;0;0,34;0,34
Controle;0;R5;0;0;0,31;0,31
Controle;0;R6;0;0;0,33;0,33
Controle;0;R7;0;0;0,34;0,34
Controle;0;R8;0;0;0,33;0,33
Controle;0;R9;0;0;0,34;0,34
Controle;0;R10;0;0;0,34;0,34
Controle;1;R1;0;0;0,42;0,42
Controle;1;R2;0;0;0,43;0,43
Controle;1;R3;0;0;0,4;0,4
Controle;1;R4;0;0;0,45;0,45
Controle;1;R5;0;0;0,43;0,43
Controle;1;R6;0;0;0,42;0,42
Controle;1;R7;0;0;0,45;0,45
Controle;1;R8;0;0;0,42;0,42
Controle;1;R9;0;0;0,45;0,45
Controle;1;R10;0;0;0,44;0,44
Controle;2;R1;0;0;0,55;0,55
Controle;2;R2;0;0;0,52;0,52
Controle;2;R3;0;0;0,52;0,52
Controle;2;R4;0;0;0,54;0,54
Controle;2;R5;0;0;0,52;0,52
Controle;2;R6;0;0;0,52;0,52
Controle;2;R7;0;0;0,54;0,54
Controle;2;R8;0;0;0,55;0,55
Controle;2;R9;0;0;0,54;0,54
Controle;2;R10;0;0;0,52;0,52
Controle;3;R1;4;0;0,61;0,61
Controle;3;R2;3;0;0,6;0,6
Controle;3;R3;4;0;0,6;0,6
Controle;3;R4;4;0;0,61;0,61
Controle;3;R5;4;0;0,6;0,6
Controle;3;R6;3;0;0,57;0,57
Controle;3;R7;5;0;0,64;0,64
Controle;3;R8;4;0;0,64;0,64
Controle;3;R9;4;0;0,63;0,63
Controle;3;R10;4;0;0,63;0,63
Controle;4;R1;0;0;0,61;0,61
Controle;4;R2;0;0;0,6;0,6
Controle;4;R3;0;0;0,61;0,61
Controle;4;R4;0;0;0,64;0,64
Controle;4;R5;0;0;0,6;0,6
Controle;4;R6;5;3;0,63;0,63
Controle;4;R7;0;4;0,64;0,64
Controle;4;R8;0;4;0,63;0,63
Controle;4;R9;7;4;0,67;0,67
Controle;4;R10;0;0;0,63;0,63
Controle;5;R1;7;4;0,66;0,66
Controle;5;R2;8;3;0,64;0,64
Controle;5;R3;5;4;0,66;0,66
Controle;5;R4;8;4;0,69;0,69
Controle;5;R5;6;4;0,66;0,66
Controle;5;R6;0;0;0,67;0,67
Controle;5;R7;8;1;0,72;0,72
Controle;5;R8;7;0;0,7;0,7
Controle;5;R9;0;0;0,75;0,75
Controle;5;R10;5;4;0,67;0,67
Controle;6;R1;8;7;0,72;0,72
Controle;6;R2;9;8;0,69;0,69
Controle;6;R3;7;5;0,69;0,69
Controle;6;R4;9;8;0,72;0,72
Controle;6;R5;9;6;0,67;0,67
Controle;6;R6;8;5;0,67;0,67
Controle;6;R7;9;8;0,72;0,72
Controle;6;R8;9;7;0,72;0,72
Controle;6;R9;9;6;0,72;0,72
Controle;6;R10;8;5;0,72;0,72
Controle;7;R1;0;0;0,72;0,72
Controle;7;R2;0;0;0,7;0,7
Controle;7;R3;0;0;0,69;0,69
Controle;7;R4;0;0;0,73;0,73
Controle;7;R5;0;0;0,67;0,67
Controle;7;R6;0;0;0,69;0,69
Controle;7;R7;0;0;0,75;0,75
Controle;7;R8;0;0;0,73;0,73
Controle;7;R9;0;0;0,75;0,75
Controle;7;R10;0;0;0,73;0,73
Controle;8;R1;8;8;0,75;0,75
Controle;8;R2;7;9;0,72;0,72
Controle;8;R3;5;7;0,72;0,72
Controle;8;R4;4;9;0,73;0,73
Controle;8;R5;5;9;0,7;0,7
Controle;8;R6;4;8;0,69;0,69
Controle;8;R7;6;9;0,76;0,76
Controle;8;R8;6;9;0,73;0,73
Controle;8;R9;6;9;0,76;0,76
Controle;8;R10;0;8;0,75;0,75
0.006;0;R1;0;0;0,34;0,34
0.006;0;R2;0;0;0,33;0,33
0.006;0;R3;0;0;0,33;0,33
0.006;0;R4;0;0;0,33;0,33
0.006;0;R5;0;0;0,36;0,36
0.006;0;R6;0;0;0,33;0,33
0.006;0;R7;0;0;0,34;0,34
0.006;0;R8;0;0;0,34;0,34
0.006;0;R9;0;0;0,36;0,36
0.006;0;R10;0;0;0,36;0,36
0.006;1;R1;0;0;0,43;0,43
0.006;1;R2;0;0;0,42;0,42
0.006;1;R3;0;0;0,4;0,4
0.006;1;R4;0;0;0,39;0,39
0.006;1;R5;0;0;0,45;0,45
0.006;1;R6;0;0;0,39;0,39
0.006;1;R7;0;0;0,4;0,4
0.006;1;R8;0;0;0,42;0,42
0.006;1;R9;0;0;0,43;0,43
0.006;1;R10;0;0;0,42;0,42
0.006;2;R1;0;0;0,54;0,54
0.006;2;R2;0;0;0,52;0,52
0.006;2;R3;0;0;0,51;0,51
0.006;2;R4;0;0;0,51;0,51
0.006;2;R5;0;0;0,54;0,54
0.006;2;R6;0;0;0,49;0,49
0.006;2;R7;0;0;0,51;0,51
0.006;2;R8;0;0;0,52;0,52
0.006;2;R9;0;0;0,45;0,45
0.006;2;R10;0;0;0,51;0,51
0.006;3;R1;4;0;0,63;0,63
0.006;3;R2;4;0;0,6;0,6
0.006;3;R3;3;0;0,6;0,6
0.006;3;R4;4;0;0,6;0,6
0.006;3;R5;5;0;0,63;0,63
0.006;3;R6;3;0;0,55;0,55
0.006;3;R7;4;0;0,6;0,6
0.006;3;R8;4;0;0,61;0,61
0.006;3;R9;0;0;0,4;0,4
0.006;3;R10;2;0;0,6;0,6
0.006;4;R1;0;0;0,63;0,63
0.006;4;R2;0;4;0,6;0,6
0.006;4;R3;0;0;0,6;0,6
0.006;4;R4;0;0;0,6;0,6
0.006;4;R5;5;5;0,63;0,63
0.006;4;R6;0;0;0,58;0,58
0.006;4;R7;0;0;0,61;0,61
0.006;4;R8;0;0;0,61;0,61
0.006;4;R9;0;0;0,4;0,4
0.006;4;R10;0;0;0,6;0,6
0.006;5;R1;6;3;0,67;0,67
0.006;5;R2;6;0;0,66;0,66
0.006;5;R3;5;3;0,66;0,66
0.006;5;R4;6;3;0,66;0,66
0.006;5;R5;0;0;0,69;0,69
0.006;5;R6;5;2;0,64;0,64
0.006;5;R7;0;0;0;Morta
0.006;5;R8;8;4;0,69;0,69
0.006;5;R9;0;0;0,51;0,51
0.006;5;R10;4;2;0,64;0,64
0.006;6;R1;6;4;0,64;0,64
0.006;6;R2;7;6;0,69;0,69
0.006;6;R3;0;0;0,72;0,72
0.006;6;R4;8;4;0,69;0,69
0.006;6;R5;8;5;0,72;0,72
0.006;6;R6;0;0;0,66;0,66
0.006;6;R7;0;0;0;Morta
0.006;6;R8;9;8;0,7;0,7
0.006;6;R9;0;0;0,52;0,52
0.006;6;R10;0;4;0,66;0,66
0.006;7;R1;7;6;0,69;0,69
0.006;7;R2;0;0;0,69;0,69
0.006;7;R3;7;5;0,7;0,7
0.006;7;R4;0;0;0,69;0,69
0.006;7;R5;0;0;0,72;0,72
0.006;7;R6;0;0;0,66;0,66
0.006;7;R7;0;0;0;Morta
0.006;7;R8;0;0;0,7;0,7
0.006;7;R9;0;0;0,54;0,54
0.006;7;R10;4;0;0,66;0,66
0.006;8;R1;0;0;0;Morta
0.006;8;R2;6;6;0,72;0,72
0.006;8;R3;0;0;0,7;0,7
0.006;8;R4;0;0;0,69;0,69
0.006;8;R5;5;0;0,73;0,73
0.006;8;R6;7;0;0,67;0,67
0.006;8;R7;0;0;0;Morta
0.006;8;R8;0;8;0,7;0,7
0.006;8;R9;0;0;0,54;0,54
0.006;8;R10;0;0;0,66;0,66
0.01;0;R1;0;0;0,33;0,33
0.01;0;R2;0;0;0,34;0,34
0.01;0;R3;0;0;0,34;0,34
0.01;0;R4;0;0;0,31;0,31
0.01;0;R5;0;0;0,34;0,34
0.01;0;R6;0;0;0,34;0,34
0.01;0;R7;0;0;0,33;0,33
0.01;0;R8;0;0;0,33;0,33
0.01;0;R9;0;0;0,34;0,34
0.01;0;R10;0;0;0,34;0,34
0.01;1;R1;0;0;0,4;0,4
0.01;1;R2;0;0;0,42;0,42
0.01;1;R3;0;0;0,42;0,42
0.01;1;R4;0;0;0,42;0,42
0.01;1;R5;0;0;0,4;0,4
0.01;1;R6;0;0;0,42;0,42
0.01;1;R7;0;0;0,4;0,4
0.01;1;R8;0;0;0,4;0,4
0.01;1;R9;0;0;0,45;0,45
0.01;1;R10;0;0;0,43;0,43
0.01;2;R1;0;0;0,46;0,46
0.01;2;R2;0;0;0,52;0,52
0.01;2;R3;0;0;0,46;0,46
0.01;2;R4;0;0;0,52;0,52
0.01;2;R5;0;0;0,51;0,51
0.01;2;R6;0;0;0,46;0,46
0.01;2;R7;0;0;0,45;0,45
0.01;2;R8;0;0;0,49;0,49
0.01;2;R9;0;0;0,54;0,54
0.01;2;R10;0;0;0,46;0,46
0.01;3;R1;2;0;0,6;0,6
0.01;3;R2;4;0;0,61;0,61
0.01;3;R3;2;0;0,46;0,46
0.01;3;R4;4;0;0,6;0,6
0.01;3;R5;2;0;0,61;0,61
0.01;3;R6;0;0;0,49;0,49
0.01;3;R7;2;0;0,45;0,45
0.01;3;R8;4;0;0,58;0,58
0.01;3;R9;4;0;0,63;0,63
0.01;3;R10;4;0;0,64;0,64
0.01;4;R1;0;0;0,6;0,6
0.01;4;R2;0;0;0,61;0,61
0.01;4;R3;0;0;0,51;0,51
0.01;4;R4;0;0;0,6;0,6
0.01;4;R5;6;0;0,61;0,61
0.01;4;R6;0;0;0,49;0,49
0.01;4;R7;0;0;0,45;0,45
0.01;4;R8;0;0;0,58;0,58
0.01;4;R9;0;4;0,63;0,63
0.01;4;R10;7;4;0,67;0,67
0.01;5;R1;0;0;0;Morta
0.01;5;R2;6;4;0,67;0,67
0.01;5;R3;0;2;0,52;0,52
0.01;5;R4;6;4;0,67;0,67
0.01;5;R5;0;0;0,66;0,66
0.01;5;R6;0;0;0,54;0,54
0.01;5;R7;0;2;0,51;0,51
0.01;5;R8;5;4;0,64;0,64
0.01;5;R9;5;0;0,67;0,67
0.01;5;R10;7;0;0,56;0,56
0.01;6;R1;0;0;0;Morta
0.01;6;R2;0;0;0,66;0,66
0.01;6;R3;3;0;0,52;0,52
0.01;6;R4;6;6;0,7;0,7
0.01;6;R5;8;6;0,67;0,67
0.01;6;R6;0;0;0,54;0,54
0.01;6;R7;2;0;0,52;0,52
0.01;6;R8;8;5;0,67;0,67
0.01;6;R9;7;5;0,69;0,69
0.01;6;R10;5;7;0,7;0,7
0.01;7;R1;0;0;0;Morta
0.01;7;R2;6;4;0,7;0,7
0.01;7;R3;0;0;0,52;0,52
0.01;7;R4;0;0;0,7;0,7
0.01;7;R5;0;0;0,75;0,75
0.01;7;R6;0;0;0,55;0,55
0.01;7;R7;0;0;0,54;0,54
0.01;7;R8;0;0;0,69;0,69
0.01;7;R9;0;0;0,7;0,7
0.01;7;R10;0;0;0,7;0,7
0.01;8;R1;0;0;0;Morta
0.01;8;R2;6;0;0,73;0,73
0.01;8;R3;0;3;0,52;0,52
0.01;8;R4;0;6;0,73;0,73
0.01;8;R5;5;0;0,75;0,75
0.01;8;R6;7;0;0,55;0,55
0.01;8;R7;0;2;0,54;0,54
0.01;8;R8;0;8;0,72;0,72
0.01;8;R9;0;6;0,73;0,73
0.01;8;R10;0;5;0,7;0,7
0.02;0;R1;0;0;0,34;0,34
0.02;0;R2;0;0;0,31;0,31
0.02;0;R3;0;0;0,33;0,33
0.02;0;R4;0;0;0,31;0,31
0.02;0;R5;0;0;0,33;0,33
0.02;0;R6;0;0;0,33;0,33
0.02;0;R7;0;0;0,34;0,34
0.02;0;R8;0;0;0,34;0,34
0.02;0;R9;0;0;0,34;0,34
0.02;0;R10;0;0;0,33;0,33
0.02;1;R1;0;0;0,45;0,45
0.02;1;R2;0;0;0,4;0,4
0.02;1;R3;0;0;0,42;0,42
0.02;1;R4;0;0;0,4;0,4
0.02;1;R5;0;0;0,4;0,4
0.02;1;R6;0;0;0,4;0,4
0.02;1;R7;0;0;0,42;0,42
0.02;1;R8;0;0;0,42;0,42
0.02;1;R9;0;0;0,4;0,4
0.02;1;R10;0;0;0,4;0,4
0.02;2;R1;0;0;0,55;0,55
0.02;2;R2;0;0;0,51;0,51
0.02;2;R3;0;0;0,48;0,48
0.02;2;R4;0;0;0,51;0,51
0.02;2;R5;0;0;0,51;0,51
0.02;2;R6;0;0;0,49;0,49
0.02;2;R7;0;0;0,52;0,52
0.02;2;R8;0;0;0,52;0,52
0.02;2;R9;0;0;0,52;0,52
0.02;2;R10;0;0;0,52;0,52
0.02;3;R1;0;0;0;Morta
0.02;3;R2;3;0;0,58;0,58
0.02;3;R3;3;0;0,55;0,55
0.02;3;R4;3;0;0,57;0,57
0.02;3;R5;3;0;0,58;0,58
0.02;3;R6;3;0;0,6;0,6
0.02;3;R7;4;0;0,61;0,61
0.02;3;R8;4;0;0,6;0,6
0.02;3;R9;4;0;0,61;0,61
0.02;3;R10;4;0;0,6;0,6
0.02;4;R1;0;0;0;Morta
0.02;4;R2;0;0;0,58;0,58
0.02;4;R3;0;0;0,55;0,55
0.02;4;R4;0;0;0,57;0,57
0.02;4;R5;0;0;0,58;0,58
0.02;4;R6;0;0;0,6;0,6
0.02;4;R7;0;0;0,6;0,6
0.02;4;R8;0;0;0,6;0,6
0.02;4;R9;0;0;0,61;0,61
0.02;4;R10;0;0;0,6;0,6
0.02;5;R1;0;0;0;Morta
0.02;5;R2;5;3;0,63;0,63
0.02;5;R3;5;3;0,6;0,6
0.02;5;R4;5;3;0,63;0,63
0.02;5;R5;5;3;0,63;0,63
0.02;5;R6;5;3;0,66;0,66
0.02;5;R7;6;3;0,66;0,66
0.02;5;R8;6;4;0,66;0,66
0.02;5;R9;5;4;0,67;0,67
0.02;5;R10;5;4;0,66;0,66
0.02;6;R1;0;0;0;Morta
0.02;6;R2;0;0;0,64;0,64
0.02;6;R3;0;0;0,6;0,6
0.02;6;R4;8;5;0,66;0,66
0.02;6;R5;0;0;0,63;0,63
0.02;6;R6;8;5;0,67;0,67
0.02;6;R7;7;6;0,66;0,66
0.02;6;R8;0;0;0,66;0,66
0.02;6;R9;0;0;0,67;0,67
0.02;6;R10;0;0;0,67;0,67
0.02;7;R1;0;0;0;Morta
0.02;7;R2;6;5;0,64;0,64
0.02;7;R3;6;5;0,63;0,63
0.02;7;R4;0;0;0,66;0,66
0.02;7;R5;0;0;0,67;0,67
0.02;7;R6;0;0;0,67;0,67
0.02;7;R7;0;0;0,69;0,69
0.02;7;R8;0;0;0,66;0,66
0.02;7;R9;0;0;0,67;0,67
0.02;7;R10;6;5;0,67;0,67
0.02;8;R1;0;0;0;Morta
0.02;8;R2;0;0;0,67;0,67
0.02;8;R3;0;0;0,67;0,67
0.02;8;R4;0;8;0,67;0,67
0.02;8;R5;2;0;0,67;0,67
0.02;8;R6;0;7;0,67;0,67
0.02;8;R7;0;6;0,69;0,69
0.02;8;R8;0;0;0,69;0,69
0.02;8;R9;0;0;0,68;0,68
0.02;8;R10;0;0;0,69;0,69
0.04;0;R1;0;0;0,31;0,31
0.04;0;R2;0;0;0,34;0,34
0.04;0;R3;0;0;0,33;0,33
0.04;0;R4;0;0;0,33;0,33
0.04;0;R5;0;0;0,33;0,33
0.04;0;R6;0;0;0,31;0,31
0.04;0;R7;0;0;0,31;0,31
0.04;0;R8;0;0;0,34;0,34
0.04;0;R9;0;0;0,31;0,31
0.04;0;R10;0;0;0,31;0,31
0.04;1;R1;0;0;0,42;0,42
0.04;1;R2;0;0;0,42;0,42
0.04;1;R3;0;0;0,42;0,42
0.04;1;R4;0;0;0,4;0,4
0.04;1;R5;0;0;0,39;0,39
0.04;1;R6;0;0;0,45;0,45
0.04;1;R7;0;0;0,39;0,39
0.04;1;R8;0;0;0,45;0,45
0.04;1;R9;0;0;0,43;0,43
0.04;1;R10;0;0;0,42;0,42
0.04;2;R1;0;0;0,52;0,52
0.04;2;R2;0;0;0,54;0,54
0.04;2;R3;0;0;0,52;0,52
0.04;2;R4;0;0;0,49;0,49
0.04;2;R5;0;0;0,51;0,51
0.04;2;R6;0;0;0,55;0,55
0.04;2;R7;0;0;0,49;0,49
0.04;2;R8;0;0;0,46;0,46
0.04;2;R9;0;0;0,51;0,51
0.04;2;R10;0;0;0,52;0,52
0.04;3;R1;4;0;0,6;0,6
0.04;3;R2;2;0;0,6;0,6
0.04;3;R3;3;0;0,6;0,6
0.04;3;R4;3;0;0,57;0,57
0.04;3;R5;4;0;0,6;0,6
0.04;3;R6;4;0;0,64;0,64
0.04;3;R7;3;0;0,55;0,55
0.04;3;R8;4;0;0,61;0,61
0.04;3;R9;0;0;0,51;0,51
0.04;3;R10;3;0;0,6;0,6
0.04;4;R1;0;4;0,6;0,6
0.04;4;R2;0;1;0,6;0,6
0.04;4;R3;0;0;0,6;0,6
0.04;4;R4;0;0;0,6;0,6
0.04;4;R5;0;0;0,6;0,6
0.04;4;R6;0;2;0,64;0,64
0.04;4;R7;0;0;0,55;0,55
0.04;4;R8;0;0;0,61;0,61
0.04;4;R9;1;0;0,54;0,54
0.04;4;R10;0;0;0,6;0,6
0.04;5;R1;6;0;0,66;0,66
0.04;5;R2;3;0;0,64;0,64
0.04;5;R3;5;3;0,67;0,67
0.04;5;R4;5;2;0,63;0,63
0.04;5;R5;6;3;0,66;0,66
0.04;5;R6;5;2;0,67;0,67
0.04;5;R7;4;2;0,57;0,57
0.04;5;R8;5;3;0,66;0,66
0.04;5;R9;0;0;0,54;0,54
0.04;5;R10;6;2;0,67;0,67
0.04;6;R1;0;6;0,67;0,67
0.04;6;R2;3;3;0,67;0,67
0.04;6;R3;8;5;0,69;0,69
0.04;6;R4;0;0;0,63;0,63
0.04;6;R5;0;6;0,64;0,64
0.04;6;R6;8;5;0,7;0,7
0.04;6;R7;0;0;0,6;0,6
0.04;6;R8;0;5;0,67;0,67
0.04;6;R9;0;1;0,58;0,58
0.04;6;R10;0;6;0,66;0,66
0.04;7;R1;0;0;0,67;0,67
0.04;7;R2;0;0;0,67;0,67
0.04;7;R3;0;0;0,69;0,69
0.04;7;R4;6;5;0,67;0,67
0.04;7;R5;0;0;0;Morta
0.04;7;R6;0;0;0,72;0,72
0.04;7;R7;6;4;0,61;0,61
0.04;7;R8;6;0;0,67;0,67
0.04;7;R9;0;0;0,58;0,58
0.04;7;R10;6;0;0,67;0,67
0.04;8;R1;0;0;0,69;0,69
0.04;8;R2;0;3;0,66;0,66
0.04;8;R3;0;0;0;Morta
0.04;8;R4;0;0;0,67;0,67
0.04;8;R5;0;0;0;Morta
0.04;8;R6;0;8;0,75;0,75
0.04;8;R7;0;0;0,61;0,61
0.04;8;R8;0;4;0,69;0,69
0.04;8;R9;0;0;0,58;0,58
0.04;8;R10;0;2;0,67;0,67
0.09;0;R1;0;0;0,33;0,33
0.09;0;R2;0;0;0,34;0,34
0.09;0;R3;0;0;0,34;0,34
0.09;0;R4;0;0;0,33;0,33
0.09;0;R5;0;0;0,34;0,34
0.09;0;R6;0;0;0,31;0,31
0.09;0;R7;0;0;0,31;0,31
0.09;0;R8;0;0;0,34;0,34
0.09;0;R9;0;0;0,34;0,34
0.09;0;R10;0;0;0,34;0,34
0.09;1;R1;0;0;0,42;0,42
0.09;1;R2;0;0;0,42;0,42
0.09;1;R3;0;0;0,39;0,39
0.09;1;R4;0;0;0,42;0,42
0.09;1;R5;0;0;0,43;0,43
0.09;1;R6;0;0;0,42;0,42
0.09;1;R7;0;0;0,4;0,4
0.09;1;R8;0;0;0,42;0,42
0.09;1;R9;0;0;0,4;0,4
0.09;1;R10;0;0;0,42;0,42
0.09;2;R1;0;0;0,51;0,51
0.09;2;R2;0;0;0,52;0,52
0.09;2;R3;0;0;0,54;0,54
0.09;2;R4;0;0;0,52;0,52
0.09;2;R5;0;0;0,48;0,48
0.09;2;R6;0;0;0,52;0,52
0.09;2;R7;0;0;0,51;0,51
0.09;2;R8;0;0;0,52;0,52
0.09;2;R9;0;0;0,46;0,46
0.09;2;R10;0;0;0,46;0,46
0.09;3;R1;4;0;0,61;0,61
0.09;3;R2;4;0;0,6;0,6
0.09;3;R3;3;0;0,61;0,61
0.09;3;R4;3;0;0,6;0,6
0.09;3;R5;3;0;0,48;0,48
0.09;3;R6;4;0;0,6;0,6
0.09;3;R7;3;0;0,57;0,57
0.09;3;R8;4;0;0,61;0,61
0.09;3;R9;0;0;0,46;0,46
0.09;3;R10;3;0;0,58;0,58
0.09;4;R1;0;0;0,61;0,61
0.09;4;R2;0;0;0,6;0,6
0.09;4;R3;5;3;0,67;0,67
0.09;4;R4;0;0;0,6;0,6
0.09;4;R5;5;3;0,65;0,65
0.09;4;R6;0;0;0,6;0,6
0.09;4;R7;0;0;0,6;0,6
0.09;4;R8;0;0;0,61;0,61
0.09;4;R9;0;0;0;Morta
0.09;4;R10;0;0;0,58;0,58
0.09;5;R1;5;3;0,66;0,66
0.09;5;R2;6;3;0,67;0,67
0.09;5;R3;0;0;0,67;0,67
0.09;5;R4;5;3;0,66;0,66
0.09;5;R5;4;0;0,67;0,67
0.09;5;R6;5;4;0,6;0,6
0.09;5;R7;5;3;0,64;0,64
0.09;5;R8;6;2;0,69;0,69
0.09;5;R9;0;0;0;Morta
0.09;5;R10;6;2;0,64;0,64
0.09;6;R1;0;0;0,67;0,67
0.09;6;R2;0;0;0,67;0,67
0.09;6;R3;0;0;0;Morta
0.09;6;R4;3;5;0,66;0,66
0.09;6;R5;2;5;0,72;0,72
0.09;6;R6;2;5;0,66;0,66
0.09;6;R7;2;5;0,67;0,67
0.09;6;R8;0;6;0,67;0,67
0.09;6;R9;0;0;0;Morta
0.09;6;R10;5;6;0,67;0,67
0.09;7;R1;4;5;0,69;0,69
0.09;7;R2;3;6;0,69;0,69
0.09;7;R3;0;0;0;Morta
0.09;7;R4;0;0;0,66;0,66
0.09;7;R5;0;0;0,72;0,72
0.09;7;R6;0;0;0,69;0,69
0.09;7;R7;0;0;0,67;0,67
0.09;7;R8;4;0;0,69;0,69
0.09;7;R9;0;0;0;Morta
0.09;7;R10;0;0;0;Morta
0.09;8;R1;0;0;0,7;0,7
0.09;8;R2;0;0;0,7;0,7
0.09;8;R3;0;0;0;Morta
0.09;8;R4;0;5;0,67;0,67
0.09;8;R5;5;0;0,72;0,72
0.09;8;R6;5;5;0,72;0,72
0.09;8;R7;0;6;0,67;0,67
0.09;8;R8;0;0;0,72;0,72
0.09;8;R9;0;0;0;Morta
0.09;8;R10;0;0;0;Morta
